type,entry_time,entry_price,close_time,close_price,support,resistance
long,2020-03-15 03:50:00,5206.7,2020-03-15 17:45:00,5550.38,,5285.89
long,2020-03-16 00:15:00,5323.79,2020-03-16 03:10:00,5653.21,,5334.94
long,2020-03-16 13:15:00,4874.26,2020-03-16 21:25:00,5151.39,,4899.02
long,2020-03-17 00:15:00,5094.47,2020-03-17 13:40:00,5402.82,,5135.0
long,2020-03-17 19:35:00,5139.31,2020-03-17 21:30:00,5413.98,,5150.49
long,2020-03-18 15:50:00,5100.38,2020-03-18 19:20:00,5370.36,,5109.95
long,2020-03-19 00:15:00,5248.93,2020-03-19 15:25:00,5593.53,,5285.0
long,2020-03-19 15:45:00,5583.2,2020-03-19 21:35:00,5915.18,,5628.06
long,2020-03-20 00:15:00,6188.78,2020-03-20 13:45:00,6758.31,,6245.01
long,2020-03-21 02:05:00,5885.39,2020-03-21 03:30:00,6301.55,,5978.0
long,2020-03-21 16:50:00,5955.23,2020-03-21 18:55:00,6258.96,,5953.28
long,2020-03-23 00:15:00,5984.03,2020-03-23 18:30:00,6439.65,,6027.72
long,2020-03-24 00:15:00,6270.0,2020-03-24 13:45:00,6699.0,,6323.46
long,2020-03-25 08:15:00,6552.63,2020-03-25 15:05:00,6944.26,,6605.0
long,2020-03-30 00:15:00,6074.1,2020-03-30 21:00:00,6417.11,,6099.79
long,2020-04-02 00:15:00,6196.96,2020-04-02 04:05:00,6590.36,,6211.99
long,2020-04-02 04:25:00,6520.75,2020-04-02 22:25:00,6916.62,,6574.84
long,2020-04-06 00:15:00,6797.24,2020-04-06 21:30:00,7174.78,,6817.26
long,2020-04-12 00:15:00,6791.0,2020-04-12 22:30:00,7157.74,,6803.1
long,2020-04-16 00:40:00,6739.54,2020-04-16 14:00:00,7087.95,,6750.0
long,2020-04-23 00:15:00,7110.96,2020-04-23 19:50:00,7590.69,,7123.89
long,2020-04-29 00:15:00,7738.78,2020-04-29 16:30:00,8128.09,,7738.02
long,2020-04-29 16:50:00,8130.5,2020-04-29 22:10:00,8646.03,,8174.85
long,2020-04-30 00:15:00,8603.49,2020-04-30 09:05:00,9172.01,,8685.01
long,2020-05-06 00:15:00,8883.01,2020-05-06 17:30:00,9357.04,,8910.0
long,2020-05-07 00:15:00,9224.24,2020-05-07 22:35:00,9713.4,,9234.91
long,2020-05-11 00:15:00,8483.02,2020-05-11 17:20:00,8981.71,,8498.87
long,2020-05-12 00:15:00,8457.95,2020-05-12 19:55:00,8909.84,,8460.0
long,2020-05-14 00:15:00,9084.69,2020-05-14 14:15:00,9620.98,,9105.61
long,2020-05-17 00:15:00,9273.52,2020-05-17 20:20:00,9789.83,,9314.28
long,2020-06-02 00:15:00,9571.67,2020-06-02 04:35:00,10064.5,,9575.0
long,2020-07-27 00:15:00,9910.19,2020-07-27 22:00:00,10433.73,,9930.0
long,2020-07-28 01:15:00,10750.79,2020-07-28 03:45:00,11320.36,,10768.68
long,2020-08-17 00:15:00,11833.64,2020-08-17 21:15:00,12450.22,,11828.53
long,2020-10-21 00:15:00,11958.52,2020-10-21 19:50:00,12710.83,,11948.88
long,2020-10-27 00:15:00,12953.51,2020-10-27 22:25:00,13642.75,,12973.9
long,2020-11-05 00:15:00,14079.86,2020-11-05 18:10:00,14859.59,,14117.55
long,2020-11-06 00:15:00,14938.18,2020-11-06 04:40:00,15732.82,,14951.78
long,2020-11-08 00:55:00,14785.38,2020-11-08 23:30:00,15648.13,,14878.0
long,2020-11-16 00:15:00,15896.49,2020-11-16 22:55:00,16729.42,,15926.97
long,2020-11-17 00:15:00,16707.28,2020-11-17 22:25:00,17639.35,,16718.86
long,2020-11-18 03:45:00,17474.62,2020-11-18 10:20:00,18462.35,,17555.45
long,2020-11-20 04:10:00,17916.28,2020-11-20 21:40:00,18800.61,,17904.99
long,2020-11-24 00:15:00,18369.38,2020-11-24 20:15:00,19347.48,,18418.62
long,2020-11-27 00:45:00,16330.0,2020-11-27 06:20:00,17350.0,,16514.59
long,2020-11-28 00:15:00,16767.39,2020-11-28 22:00:00,17708.01,,16845.84
long,2020-11-30 00:15:00,18105.15,2020-11-30 19:15:00,19098.99,,18085.46
long,2020-12-01 18:50:00,18620.0,2020-12-01 20:35:00,19464.17,,18513.08
long,2020-12-16 00:15:00,19508.5,2020-12-16 19:40:00,20798.35,,19518.0
long,2020-12-17 00:15:00,20650.0,2020-12-17 06:40:00,21767.57,,20713.4
long,2020-12-17 07:00:00,21662.65,2020-12-17 13:45:00,22851.44,,21737.91
long,2020-12-19 00:15:00,22769.44,2020-12-19 21:45:00,24037.56,,22759.47
long,2020-12-25 00:15:00,23307.07,2020-12-25 17:00:00,24585.2,,23338.92
long,2020-12-26 00:15:00,24392.52,2020-12-26 21:00:00,25518.3,,24248.35
long,2020-12-27 00:15:00,25721.31,2020-12-27 11:30:00,27317.09,,25784.01
long,2020-12-30 00:15:00,26650.0,2020-12-30 08:35:00,28134.3,,26749.82
long,2021-01-02 00:15:00,28908.44,2021-01-02 18:05:00,30549.36,,29072.67
long,2021-01-02 18:25:00,30604.03,2021-01-02 22:00:00,32710.28,,30888.0
long,2021-01-03 00:15:00,32810.0,2021-01-03 12:50:00,34450.01,,32785.0
long,2021-01-04 16:00:00,29420.44,2021-01-04 19:25:00,31400.0,,29900.0
long,2021-01-05 00:15:00,31152.75,2021-01-05 23:40:00,33132.77,,31374.24
long,2021-01-06 00:15:00,33387.79,2021-01-06 09:50:00,35150.0,,33330.0
long,2021-01-07 00:15:00,35202.66,2021-01-07 05:55:00,37003.14,,35200.0
long,2021-01-07 06:15:00,37056.44,2021-01-07 21:35:00,39362.59,,37287.63
long,2021-01-08 00:15:00,37371.56,2021-01-08 16:30:00,40960.78,,39000.0
long,2021-01-09 12:00:00,38981.02,2021-01-09 19:30:00,41303.27,,39245.2
long,2021-01-11 02:00:00,36808.81,2021-01-11 03:45:00,38909.63,,37000.0
long,2021-01-11 11:50:00,34091.63,2021-01-11 15:30:00,36200.61,,34450.0
long,2021-01-11 21:50:00,31750.0,2021-01-11 23:00:00,33094.27,,31383.17
long,2021-01-12 00:15:00,33150.01,2021-01-12 04:40:00,34945.75,,33247.12
long,2021-01-12 06:00:00,34901.5,2021-01-12 13:10:00,36590.26,,34828.57
long,2021-01-12 20:00:00,32876.76,2021-01-12 23:45:00,35465.0,,33735.92
long,2021-01-13 06:10:00,33174.21,2021-01-13 13:15:00,34989.07,,33254.23
long,2021-01-14 00:15:00,35830.0,2021-01-14 05:30:00,37819.63,,35825.99
long,2021-01-14 05:50:00,37720.68,2021-01-14 21:00:00,40022.24,,38075.58
long,2021-01-16 00:15:00,34845.17,2021-01-16 15:30:00,37852.02,,35787.15
long,2021-01-18 09:05:00,35053.47,2021-01-18 17:35:00,37230.76,,35343.17
long,2021-01-19 00:15:00,35710.45,2021-01-19 21:35:00,37691.71,,35889.99
long,2021-01-22 03:45:00,30784.66,2021-01-22 19:55:00,32500.0,,30919.85
long,2021-01-25 00:15:00,31881.9,2021-01-25 09:20:00,33600.0,,31877.98
long,2021-01-25 15:25:00,32979.1,2021-01-25 19:40:00,34775.52,,33098.26
long,2021-01-28 00:15:00,29771.18,2021-01-28 11:25:00,31729.16,,30163.13
long,2021-01-29 00:15:00,32569.69,2021-01-29 05:55:00,34172.97,,32448.27
long,2021-01-29 06:15:00,34012.33,2021-01-29 14:25:00,36240.24,,34159.07
long,2021-01-29 14:45:00,36142.6,2021-01-29 19:20:00,38370.21,,36432.88
long,2021-02-01 00:15:00,32602.55,2021-02-01 14:25:00,34477.31,,32712.71
long,2021-02-02 00:15:00,33805.05,2021-02-02 14:45:00,35599.38,,33850.0
